I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
"KFH244,5 / 160","244,5",,160,,,,115,,,,7533,616,8.1,7533,616,8.1,,,,c,c,,,,,,,,,,
"KFH244,5 / 20,0","244,5",,"20,0",,,,141,,,,8957,733,7.97,8957,733,7.97,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,c,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
